"yield","conversion","flow","ratio"
55.45,11.79,118.9,0.155
54.83,11.95,105,0.089
52.21,12.14,97,0.094
50.4,12.06,101,0.108
49.32,12.04,44,0.1
41.36,12.28,30,0.036
49.28,12.36,38,0.113
47.89,12.22,32,0.123
52.4,11.9,220,0.135
52.62,11.34,350,0.183
59.34,11.2,160,0.166
45.32,12.03,328,0.221
48.97,12.04,325,0.192
49.87,12.02,330,0.188
47.06,12.02,330,0.201
40.05,12.05,322,0.153
51.29,12.05,322,0.194
43.73,12.14,326,0.097
51.44,12.05,366,0.136
49.33,12.13,350,0.143
51.85,11.94,510,0.116
52.33,12.02,513,0.195
47.72,12.02,523,0.16
46.65,11.8,430,0.164
49.83,11.4,325,0.197
51.36,11.19,380,0.233
51.19,11.19,380,0.211
48.1,11.18,383,0.222
48.28,11.21,375,0.223
51.28,11.21,375,0.229
47.81,11.88,410,0.17
46.78,12.09,485,0>163
44.24,11.97,445,0.153
53.07,11.3,232,0.18
54.08,10.9,220,0.126
54.19,10.9,223,0.152
54.26,10.9,222,0.184
55.94,10.8,240,0.225
55.85,10.9,238,0.169
56.57,10.8,258,0.161
53.85,10.75,272,0.197
54.81,10.72,280,0.201
54.14,11.1,426,0.221
53.74,-11.12,404,0.215
